Date,Brent,Steel_PPI,Cement_PPI,PVC_PPI,Fuel_PPI
2000-01-01,27.08,118.3,159.9,132.3,112.0
2000-02-01,29.01,118.2,160.6,133.5,112.5
2000-03-01,23.98,118.4,161.3,135.1,111.8
2000-04-01,23.79,119.0,162.7,135.8,113.9
2000-05-01,29.64,118.4,163.6,137.1,114.6
2000-06-01,31.58,117.6,163.7,139.2,128.7
2000-07-01,25.3,117.1,163.9,138.7,140.5
2000-08-01,35.08,116.2,164.1,137.6,140.4
2000-09-01,28.42,116.1,164.4,136.8,148.2
2000-10-01,30.15,114.7,164.4,135.6,164.4
2000-11-01,32.53,112.8,164.3,134.2,164.7
2000-12-01,22.58,112.4,164.2,134.0,216.7
2001-01-01,26.59,112.1,166.0,132.3,263.6
2001-02-01,25.16,110.6,167.3,133.4,238.2
2001-03-01,23.5,110.6,167.7,133.9,204.2
2001-04-01,27.21,110.2,168.4,135.1,194.8
2001-05-01,28.55,109.9,168.9,134.9,193.5
2001-06-01,26.21,109.7,169.2,134.6,173.3
2001-07-01,24.35,110.0,169.5,134.3,166.1
2001-08-01,26.8,109.9,169.8,133.1,145.9
2001-09-01,21.87,109.6,169.7,130.7,139.1
2001-10-01,19.63,108.6,169.7,130.5,134.1
2001-11-01,18.92,107.6,169.5,131.5,138.1
2001-12-01,19.35,107.3,169.7,130.4,137.2
2002-01-01,19.07,107.1,171.1,130.0,139.0
2002-02-01,20.73,107.7,172.0,132.0,133.6
2002-03-01,25.34,109.0,172.4,132.9,131.9
2002-04-01,26.98,110.8,172.8,134.0,135.3
2002-05-01,23.87,112.9,173.2,136.7,132.9
2002-06-01,25.33,114.7,173.3,139.1,131.1
2002-07-01,26.28,115.9,173.6,139.6,130.0
2002-08-01,27.56,117.0,173.5,140.5,128.6
2002-09-01,29.11,118.6,173.7,140.5,132.7
2002-10-01,25.51,118.9,173.5,138.6,137.5
2002-11-01,25.74,118.2,173.4,134.8,151.5
2002-12-01,30.12,117.9,174.0,134.5,154.0
2003-01-01,31.57,118.6,174.9,135.9,162.4
2003-02-01,34.0,120.1,175.7,137.3,169.7
2003-03-01,28.05,120.7,175.8,138.8,202.8
2003-04-01,23.6,120.7,176.7,140.6,181.2
2003-05-01,26.58,119.8,177.0,140.2,178.0
2003-06-01,28.88,119.2,177.3,139.5,185.5
2003-07-01,28.68,119.4,177.3,138.8,182.9
2003-08-01,30.38,120.8,177.4,137.6,178.0
2003-09-01,28.09,122.0,178.0,138.5,177.7
2003-10-01,27.88,123.2,178.2,139.1,177.6
2003-11-01,28.95,125.0,178.3,138.6,184.5
2003-12-01,30.3,128.4,178.1,138.8,185.3
2004-01-01,29.53,134.0,180.1,139.2,193.5
2004-02-01,32.94,143.6,180.5,139.4,194.9
2004-03-01,32.29,150.3,181.0,140.2,190.9
2004-04-01,35.23,154.4,182.4,142.4,192.4
2004-05-01,37.0,155.3,182.7,144.5,197.6
2004-06-01,33.22,155.2,183.3,145.0,207.2
2004-07-01,41.47,166.0,184.3,145.8,203.6
2004-08-01,39.8,174.2,184.4,146.0,202.3
2004-09-01,47.76,174.0,184.8,147.2,191.7
2004-10-01,48.16,178.9,185.0,148.0,196.7
2004-11-01,44.23,182.4,185.4,148.4,227.6
2004-12-01,40.38,180.6,185.8,148.8,222.5
2005-01-01,44.51,181.2,190.7,150.5,214.6
2005-02-01,50.13,179.8,191.7,151.5,211.9
2005-03-01,53.22,176.4,191.9,153.0,214.3
2005-04-01,50.61,176.9,193.8,154.3,231.1
2005-05-01,49.3,170.7,194.7,154.6,225.2
2005-06-01,55.36,162.0,195.8,152.9,218.9
2005-07-01,59.77,160.0,196.7,153.5,231.0
2005-08-01,66.8,161.8,197.2,153.1,238.2
2005-09-01,61.7,169.2,198.3,154.7,278.5
2005-10-01,58.47,168.0,198.5,167.1,317.0
2005-11-01,53.25,173.9,199.8,179.3,319.8
2005-12-01,58.34,173.8,200.1,180.9,292.5
2006-01-01,63.19,174.7,206.7,183.8,300.9
2006-02-01,59.78,177.2,207.9,183.4,273.3
2006-03-01,66.06,178.1,209.1,182.3,255.1
2006-04-01,72.15,180.7,211.1,182.0,248.3
2006-05-01,67.57,183.7,212.3,181.8,242.1
2006-06-01,73.2,189.0,212.9,180.8,227.7
2006-07-01,74.75,193.9,216.1,181.6,228.3
2006-08-01,67.66,192.2,217.1,182.0,237.1
2006-09-01,59.09,195.3,217.7,182.4,235.8
2006-10-01,56.13,194.9,217.9,181.2,208.0
2006-11-01,64.36,189.0,218.7,180.2,243.6
2006-12-01,58.96,189.6,218.7,179.7,254.0
2007-01-01,56.52,190.0,226.3,178.4,238.8
2007-02-01,59.39,195.9,227.6,178.4,246.0
2007-03-01,68.47,205.5,229.0,178.5,251.6
2007-04-01,67.23,209.2,231.2,178.8,248.4
2007-05-01,68.18,205.8,231.4,179.9,250.2
2007-06-01,72.22,205.3,230.6,179.4,253.7
2007-07-01,77.01,204.3,231.7,179.6,245.9
2007-08-01,72.29,200.5,234.3,179.6,230.0
2007-09-01,80.97,199.8,234.9,178.9,223.1
2007-10-01,89.87,198.0,236.7,178.5,230.5
2007-11-01,88.71,197.8,237.5,179.6,241.8
2007-12-01,93.68,200.6,237.1,180.5,247.0
2008-01-01,91.58,210.0,241.7,180.6,247.2
2008-02-01,100.9,215.2,243.0,180.8,254.5
2008-03-01,102.33,224.0,243.6,180.4,268.2
2008-04-01,111.12,250.6,245.1,180.9,278.0
2008-05-01,127.85,270.6,246.0,182.7,296.8
2008-06-01,138.4,284.1,246.3,184.2,312.0
2008-07-01,124.1,293.1,248.6,187.2,338.2
2008-08-01,113.49,294.4,250.6,189.7,305.8
2008-09-01,93.52,274.0,251.0,192.1,302.0
2008-10-01,60.0,236.0,251.4,191.4,269.4
2008-11-01,47.72,209.4,252.3,190.0,263.7
2008-12-01,35.82,195.6,252.9,187.9,261.5
2009-01-01,44.17,191.6,256.6,186.9,255.7
2009-02-01,44.41,185.4,257.5,186.2,239.6
2009-03-01,46.13,179.8,259.0,186.3,228.5
2009-04-01,50.3,168.9,260.8,185.4,214.2
2009-05-01,64.98,169.2,260.5,185.8,200.0
2009-06-01,68.11,171.1,260.1,185.6,197.8
2009-07-01,70.08,178.2,259.8,185.7,198.6
2009-08-01,69.02,187.0,259.2,184.9,194.4
2009-09-01,65.82,193.7,260.0,186.8,187.7
2009-10-01,74.91,196.1,257.7,187.4,192.3
2009-11-01,77.77,191.3,258.4,186.4,206.8
2009-12-01,77.91,195.7,259.6,186.5,207.5
2010-01-01,71.2,205.6,260.2,187.8,218.6
2010-02-01,76.36,210.8,260.6,188.6,217.2
2010-03-01,80.37,220.6,260.4,190.6,211.8
2010-04-01,86.19,232.0,261.0,192.0,199.9
2010-05-01,73.0,235.5,262.1,192.0,196.0
2010-06-01,74.94,233.5,261.6,191.7,195.8
2010-07-01,77.5,224.8,262.1,190.8,205.3
2010-08-01,75.51,221.9,264.9,190.4,203.7
2010-09-01,80.77,224.1,263.4,190.4,193.7
2010-10-01,82.47,222.7,263.3,191.4,191.8
2010-11-01,86.02,222.6,262.9,192.2,191.8
2010-12-01,93.23,228.3,264.0,192.6,198.5
2011-01-01,98.97,239.8,265.7,192.9,204.2
2011-02-01,112.27,248.7,264.8,194.0,206.0
2011-03-01,116.94,253.3,264.8,195.4,203.6
2011-04-01,126.59,257.5,265.6,196.4,201.8
2011-05-01,117.18,256.6,266.1,199.5,194.9
2011-06-01,111.71,256.4,267.5,201.9,193.9
2011-07-01,115.93,256.9,268.0,202.3,194.6
2011-08-01,116.48,256.5,267.4,202.2,194.8
2011-09-01,105.42,256.9,267.4,202.6,191.3
2011-10-01,108.43,255.2,266.6,202.1,186.6
2011-11-01,111.22,248.9,266.9,199.5,188.0
2011-12-01,108.09,252.1,267.5,199.6,186.2
