pair,regime,n,best_family,gumbel_within_2AIC,theta_gumbel,lambdaU_gumbel,aic_Gumbel,aic_Clayton,aic_Frank,aic_Gaussian
ES-FI,stable,263,Frank,0,1.133,0.1566,-5.7,-5.5,-12.4,-5.9
ES-FI,crisis,55,Gumbel,1,1.295,0.2921,-4.8,-0.4,-2.2,-1.3
ES-GR,stable,263,Gumbel,1,1.257,0.2641,-27.3,-6.9,-25.9,-21.7
ES-GR,crisis,55,Gumbel,1,1.495,0.4101,-12.3,-8.9,-9.3,-9.1
ES-IE,stable,263,Frank,1,1.057,0.0735,-0.3,1.5,-1.4,0.8
ES-IE,crisis,55,Gumbel,1,1.268,0.2725,-3.7,-0.8,-2.0,-0.8
ES-IT,stable,263,Gumbel,1,1.157,0.1794,-10.4,-2.6,-8.9,-7.3
ES-IT,crisis,55,Gumbel,1,1.402,0.3606,-8.3,-5.2,-8.1,-7.4
ES-LT,stable,263,Gumbel,1,1.047,0.0614,-0.6,2.0,1.9,1.8
ES-LT,crisis,55,Gumbel,1,1.235,0.2468,-3.3,1.0,-0.4,-0.7
ES-NL,stable,263,Gumbel,1,1.132,0.155,-7.0,1.7,-6.3,-0.6
ES-NL,crisis,55,Gumbel,1,1.448,0.3862,-11.5,-0.5,-6.0,-5.8
ES-PT,stable,262,Gumbel,1,1.111,0.1334,-6.2,2.0,-1.1,-1.0
ES-PT,crisis,55,Gumbel,1,1.261,0.2671,-4.4,0.4,-0.5,-1.3
FI-GR,stable,263,Frank,1,1.218,0.2337,-20.1,-1.7,-21.3,-16.3
FI-GR,crisis,55,Gumbel,1,1.297,0.2937,-5.5,-3.6,-3.4,-5.3
FI-IE,stable,263,Frank,1,1.046,0.0602,0.8,2.2,0.3,1.3
FI-IE,crisis,55,Gaussian,0,1.418,0.3693,-9.2,-11.4,-10.3,-11.6
FI-IT,stable,263,Frank,0,1.092,0.1129,-2.5,-4.2,-7.4,-6.8
FI-IT,crisis,55,Gumbel,1,1.192,0.2112,-1.2,0.7,-0.7,-0.4
FI-LT,stable,263,Gumbel,1,1.063,0.0805,-1.4,0.6,0.1,-0.0
FI-LT,crisis,55,Gumbel,1,1.268,0.2724,-4.8,-0.9,-1.0,-2.4
FI-NL,stable,263,Frank,1,1.19,0.2097,-14.8,-3.3,-16.3,-9.8
FI-NL,crisis,55,Gumbel,1,1.198,0.2167,-2.3,0.0,-0.0,-0.7
FI-PT,stable,262,Gumbel,1,1.158,0.1801,-11.6,1.2,-8.9,-7.7
FI-PT,crisis,55,Gumbel,1,1.187,0.2066,-1.6,-0.8,0.2,-1.1
GR-IE,stable,263,Frank,0,1.093,0.1142,-2.0,0.5,-5.5,-1.4
GR-IE,crisis,55,Gumbel,1,1.918,0.5646,-31.4,-14.7,-22.9,-25.0
GR-IT,stable,263,Gumbel,1,1.148,0.171,-13.2,-4.9,-5.8,-10.3
GR-IT,crisis,55,Gumbel,1,1.383,0.3493,-7.7,-4.7,-5.8,-6.2
GR-LT,stable,263,Gumbel,1,1.114,0.1374,-6.2,0.4,-2.9,-4.6
GR-LT,crisis,55,Gumbel,1,1.587,0.4522,-18.7,-11.6,-9.4,-16.3
GR-NL,stable,263,Frank,1,1.172,0.1934,-13.0,-0.9,-13.7,-12.8
GR-NL,crisis,55,Gumbel,1,1.552,0.437,-15.4,-4.3,-10.9,-11.1
GR-PT,stable,262,Gumbel,1,1.353,0.3306,-51.0,-8.9,-33.3,-38.0
GR-PT,crisis,55,Gumbel,1,1.723,0.5046,-23.3,-21.6,-17.5,-23.2
IE-IT,stable,263,Frank,1,1.01,0.0137,2.1,1.7,0.9,1.5
IE-IT,crisis,55,Frank,1,1.32,0.3093,-5.1,-1.1,-5.2,-4.2
IE-LT,stable,263,Frank,1,1.061,0.0776,-0.3,0.3,-1.6,-0.6
IE-LT,crisis,55,Gaussian,1,1.765,0.5189,-24.9,-21.0,-19.5,-25.2
IE-NL,stable,263,Gumbel,1,1.012,0.0163,1.9,2.1,2.0,2.0
IE-NL,crisis,55,Gumbel,1,1.319,0.3086,-6.2,-1.6,-2.9,-4.3
IE-PT,stable,262,Frank,1,1.035,0.0468,1.3,1.7,1.2,1.8
IE-PT,crisis,55,Gumbel,1,1.395,0.3565,-9.3,-2.8,-5.0,-6.0
IT-LT,stable,263,Gumbel,1,1.02,0.0275,1.7,2.0,2.0,2.0
IT-LT,crisis,55,Gumbel,1,1.533,0.4284,-13.1,-5.8,-11.9,-9.9
IT-NL,stable,263,Gumbel,1,1.167,0.1889,-14.8,-4.3,-8.1,-10.8
IT-NL,crisis,55,Gumbel,1,1.544,0.4333,-15.5,-2.2,-9.2,-10.2
IT-PT,stable,262,Gumbel,1,1.068,0.0865,-1.1,1.5,-0.1,-0.9
IT-PT,crisis,55,Gumbel,1,1.349,0.3286,-7.0,-3.1,-4.0,-4.5
LT-NL,stable,263,Clayton,1,1.01,0.0137,2.0,1.6,1.7,2.0
LT-NL,crisis,55,Gumbel,1,1.469,0.3968,-11.4,-6.4,-9.2,-9.1
LT-PT,stable,262,Gumbel,1,1.08,0.1007,-4.2,1.8,1.2,0.6
LT-PT,crisis,55,Gumbel,1,1.655,0.4798,-20.3,-9.9,-15.9,-18.3
NL-PT,stable,262,Gumbel,1,1.259,0.2657,-27.3,-9.4,-23.8,-20.9
NL-PT,crisis,55,Gumbel,1,1.498,0.4116,-14.2,-3.6,-6.5,-9.1
