window,pair,bloc,lambdaU_stable,lambdaU_crisis,amplification,perm_p,lambdaL_stable,lambdaL_crisis,n_months
24,ES-FI,MED-N,0.2077,0.2183,1.051,0.3556,0.2155,0.1888,295
24,ES-GR,MED-MED,0.217,0.313,1.4424,0.1109,0.2128,0.3414,295
24,ES-IE,MED-N,0.1371,0.1227,0.8951,0.5924,0.1226,0.1149,295
24,ES-IT,MED-MED,0.2209,0.2029,0.9183,0.6034,0.2266,0.1619,295
24,ES-LT,MED-N,0.0973,0.0741,0.7615,0.8022,0.0782,0.0604,295
24,ES-NL,MED-N,0.1834,0.3249,1.7716,0.007,0.1789,0.3682,295
24,ES-PT,MED-MED,0.0957,0.1586,1.658,0.1189,0.0721,0.1753,294
24,FI-GR,MED-N,0.1173,0.2061,1.7574,0.1548,0.0988,0.1955,295
24,FI-IE,N-N,0.1,0.1275,1.2758,0.3906,0.0942,0.107,295
24,FI-IT,MED-N,0.1583,0.1027,0.6489,0.8392,0.1435,0.0627,295
24,FI-LT,N-N,0.0835,0.167,2.0003,0.0649,0.066,0.1593,295
24,FI-NL,N-N,0.2396,0.1591,0.6642,0.8172,0.2531,0.1327,295
24,FI-PT,MED-N,0.1554,0.1987,1.2789,0.1818,0.1522,0.1705,294
24,GR-IE,MED-N,0.2124,0.1417,0.6671,0.7213,0.2174,0.1418,295
24,GR-IT,MED-MED,0.1405,0.274,1.9507,0.0959,0.1325,0.2904,295
24,GR-LT,MED-N,0.1415,0.2275,1.6078,0.2557,0.1284,0.271,295
24,GR-NL,MED-N,0.1609,0.4324,2.6878,0.034,0.1617,0.512,295
24,GR-PT,MED-MED,0.2777,0.4646,1.6728,0.021,0.2949,0.5115,294
24,IE-IT,MED-N,0.0601,0.0877,1.4601,0.3167,0.0445,0.0581,295
24,IE-LT,N-N,0.157,0.2047,1.3036,0.2438,0.1315,0.1905,295
24,IE-NL,N-N,0.0786,0.1517,1.9308,0.2108,0.0781,0.1737,295
24,IE-PT,MED-N,0.1417,0.1004,0.7088,0.7692,0.1246,0.1005,294
24,IT-LT,MED-N,0.1211,0.2154,1.7789,0.1469,0.1094,0.2158,295
24,IT-NL,MED-N,0.2533,0.3071,1.2125,0.2338,0.2596,0.3353,295
24,IT-PT,MED-MED,0.1286,0.2774,2.1575,0.009,0.1026,0.2765,294
24,LT-NL,N-N,0.1329,0.1777,1.3365,0.2557,0.1123,0.1623,295
24,LT-PT,MED-N,0.1493,0.2136,1.4311,0.1908,0.1429,0.2309,294
24,NL-PT,MED-N,0.2202,0.3128,1.4202,0.1479,0.2434,0.3494,294
36,ES-FI,MED-N,0.2095,0.2236,1.0669,0.3736,0.216,0.2179,283
36,ES-GR,MED-MED,0.2304,0.3499,1.5192,0.008,0.2277,0.3927,283
36,ES-IE,MED-N,0.1175,0.1802,1.5341,0.0919,0.0887,0.1713,283
36,ES-IT,MED-MED,0.2167,0.2399,1.1066,0.3287,0.2121,0.2238,283
36,ES-LT,MED-N,0.0984,0.0411,0.4181,0.989,0.073,0.0095,283
36,ES-NL,MED-N,0.193,0.3022,1.5661,0.1808,0.1812,0.346,283
36,ES-PT,MED-MED,0.0917,0.1596,1.7407,0.2078,0.0626,0.1697,282
36,FI-GR,MED-N,0.1427,0.2649,1.8564,0.1409,0.1223,0.2665,283
36,FI-IE,N-N,0.0859,0.2192,2.5515,0.1069,0.0795,0.2231,283
36,FI-IT,MED-N,0.1584,0.1527,0.9639,0.5564,0.1379,0.1177,283
36,FI-LT,N-N,0.0837,0.1995,2.3836,0.025,0.0662,0.197,283
36,FI-NL,N-N,0.2397,0.2126,0.8872,0.5664,0.2548,0.2059,283
36,FI-PT,MED-N,0.157,0.2145,1.366,0.2148,0.1444,0.1951,282
36,GR-IE,MED-N,0.208,0.2145,1.0312,0.4645,0.1948,0.2033,283
36,GR-IT,MED-MED,0.145,0.283,1.9522,0.1099,0.1377,0.2951,283
36,GR-LT,MED-N,0.1441,0.2216,1.5371,0.2667,0.1284,0.2516,283
36,GR-NL,MED-N,0.1879,0.3787,2.0158,0.1588,0.1887,0.4387,283
36,GR-PT,MED-MED,0.2986,0.4127,1.3824,0.1469,0.3235,0.4645,282
36,IE-IT,MED-N,0.0496,0.1553,3.1303,0.05,0.0268,0.1151,283
36,IE-LT,N-N,0.1472,0.2333,1.5848,0.1319,0.1131,0.2291,283
36,IE-NL,N-N,0.0639,0.1751,2.7394,0.1908,0.0572,0.1839,283
36,IE-PT,MED-N,0.129,0.1082,0.8385,0.5485,0.1059,0.0994,282
36,IT-LT,MED-N,0.1313,0.1856,1.4136,0.2987,0.1149,0.1744,283
36,IT-NL,MED-N,0.2614,0.2799,1.0706,0.3237,0.2719,0.3117,283
36,IT-PT,MED-MED,0.1382,0.2632,1.9043,0.012,0.104,0.257,282
36,LT-NL,N-N,0.1314,0.197,1.499,0.1099,0.0949,0.1878,283
36,LT-PT,MED-N,0.1457,0.1959,1.3442,0.3307,0.1297,0.1847,282
36,NL-PT,MED-N,0.2275,0.2895,1.2727,0.2418,0.2464,0.3052,282
