pair,regime,theta_mle,theta_tau
ES-FI,crisis,1.295,1.251
ES-FI,stable,1.133,1.191
ES-GR,crisis,1.495,1.421
ES-GR,stable,1.257,1.283
ES-IE,crisis,1.268,1.221
ES-IE,stable,1.057,1.089
ES-IT,crisis,1.402,1.42
ES-IT,stable,1.157,1.16
ES-LT,crisis,1.235,1.164
ES-LT,stable,1.047,1.016
ES-NL,crisis,1.448,1.366
ES-NL,stable,1.132,1.145
ES-PT,crisis,1.261,1.154
ES-PT,stable,1.111,1.073
FI-GR,crisis,1.297,1.275
FI-GR,stable,1.218,1.239
FI-IE,crisis,1.418,1.451
FI-IE,stable,1.046,1.058
FI-IT,crisis,1.192,1.196
FI-IT,stable,1.092,1.147
FI-LT,crisis,1.268,1.176
FI-LT,stable,1.063,1.063
FI-NL,crisis,1.198,1.16
FI-NL,stable,1.19,1.227
FI-PT,crisis,1.187,1.138
FI-PT,stable,1.158,1.154
GR-IE,crisis,1.918,1.766
GR-IE,stable,1.093,1.136
GR-IT,crisis,1.383,1.356
GR-IT,stable,1.148,1.131
GR-LT,crisis,1.587,1.413
GR-LT,stable,1.114,1.099
GR-NL,crisis,1.552,1.468
GR-NL,stable,1.172,1.201
GR-PT,crisis,1.723,1.607
GR-PT,stable,1.353,1.324
IE-IT,crisis,1.32,1.33
IE-IT,stable,1.01,1.044
IE-LT,crisis,1.765,1.676
IE-LT,stable,1.061,1.085
IE-NL,crisis,1.319,1.236
IE-NL,stable,1.012,1.011
IE-PT,crisis,1.395,1.308
IE-PT,stable,1.035,1.038
IT-LT,crisis,1.533,1.536
IT-LT,stable,1.02,1.009
IT-NL,crisis,1.544,1.425
IT-NL,stable,1.167,1.157
IT-PT,crisis,1.349,1.297
IT-PT,stable,1.068,1.064
LT-NL,crisis,1.469,1.444
LT-NL,stable,1.01,1.029
LT-PT,crisis,1.655,1.568
LT-PT,stable,1.08,1.041
NL-PT,crisis,1.498,1.363
NL-PT,stable,1.259,1.274
