causing,caused,lag,p_value,flow,bh_fdr_sig
ES,FI,2,0.007,MED->N,1
ES,GR,1,0.1341,within,0
ES,IE,4,0.0993,MED->N,0
ES,IT,1,0.0389,within,0
ES,LT,3,0.0196,MED->N,1
ES,NL,6,0.0,MED->N,1
ES,PT,3,0.0005,within,1
FI,ES,3,0.0001,N->MED,1
FI,GR,1,0.1325,N->MED,0
FI,IE,4,0.0188,within,1
FI,IT,1,0.0911,N->MED,0
FI,LT,3,0.0002,within,1
FI,NL,1,0.1682,within,0
FI,PT,1,0.0562,N->MED,0
GR,ES,4,0.0,within,1
GR,FI,2,0.0,MED->N,1
GR,IE,4,0.2541,MED->N,0
GR,IT,1,0.0,within,1
GR,LT,3,0.0003,MED->N,1
GR,NL,1,0.0,MED->N,1
GR,PT,1,0.0,within,1
IE,ES,3,0.0852,N->MED,0
IE,FI,2,0.0944,within,0
IE,GR,1,0.3487,N->MED,0
IE,IT,1,0.8066,N->MED,0
IE,LT,3,0.7846,within,0
IE,NL,1,0.3873,within,0
IE,PT,1,0.6278,N->MED,0
IT,ES,3,0.0,within,1
IT,FI,2,0.0,MED->N,1
IT,GR,1,0.0618,within,0
IT,IE,4,0.0662,MED->N,0
IT,LT,3,0.0035,MED->N,1
IT,NL,1,0.4555,MED->N,0
IT,PT,1,0.0469,within,0
LT,ES,3,0.0103,N->MED,1
LT,FI,2,0.0004,within,1
LT,GR,1,0.2224,N->MED,0
LT,IE,4,0.2812,within,0
LT,IT,1,0.2187,N->MED,0
LT,NL,1,0.0004,within,1
LT,PT,1,0.0009,N->MED,1
NL,ES,3,0.0,N->MED,1
NL,FI,2,0.0005,within,1
NL,GR,1,0.0452,N->MED,0
NL,IE,4,0.0254,within,1
NL,IT,1,0.0227,N->MED,1
NL,LT,3,0.0011,within,1
NL,PT,3,0.002,N->MED,1
PT,ES,3,0.0,within,1
PT,FI,2,0.0049,MED->N,1
PT,GR,1,0.5665,within,0
PT,IE,4,0.4204,MED->N,0
PT,IT,1,0.0003,within,1
PT,LT,3,0.0,MED->N,1
PT,NL,6,0.0021,MED->N,1
