window,labels,bloc,n_pairs,amplification,panel_diff,perm_p
24,exog,ALL,28,1.3596,0.0563,0.1439
24,exog,MED-N,16,1.3062,0.0481,0.1908
24,exog,MED-MED,6,1.5655,0.1018,0.004
24,exog,N-N,6,1.2478,0.0327,0.2498
24,endog,ALL,28,1.1008,0.0157,0.4216
24,endog,MED-N,16,1.1015,0.0157,0.4046
24,endog,MED-MED,6,1.3369,0.0555,0.015
24,endog,N-N,6,0.9639,-0.0051,0.4885
36,exog,ALL,28,1.434,0.0687,0.1399
36,exog,MED-N,16,1.3315,0.053,0.1708
36,exog,MED-MED,6,1.527,0.0983,0.0639
36,exog,N-N,6,1.645,0.0808,0.1259
36,endog,ALL,28,1.1646,0.025,0.2657
36,endog,MED-N,16,1.2139,0.0313,0.2148
36,endog,MED-MED,6,1.1557,0.0291,0.2547
36,endog,N-N,6,1.1058,0.0141,0.3776
