causing,caused,p_min_lag12,group
DE,ES,0.0004,DE/FR involved
DE,FI,0.0,DE/FR involved
DE,FR,0.0659,DE/FR involved
DE,GR,0.5171,DE/FR involved
DE,IE,0.1001,DE/FR involved
DE,IT,0.3229,DE/FR involved
DE,LT,0.0283,DE/FR involved
DE,NL,0.0011,DE/FR involved
DE,PT,0.0102,DE/FR involved
ES,DE,0.5913,DE/FR involved
ES,FI,0.004,core8
ES,FR,0.0043,DE/FR involved
ES,GR,0.7477,core8
ES,IE,0.0291,core8
ES,IT,0.4261,core8
ES,LT,0.0931,core8
ES,NL,0.0024,core8
ES,PT,0.1578,core8
FI,DE,0.0027,DE/FR involved
FI,ES,0.0001,core8
FI,FR,0.0092,DE/FR involved
FI,GR,0.135,core8
FI,IE,0.1058,core8
FI,IT,0.0029,core8
FI,LT,0.0032,core8
FI,NL,0.0214,core8
FI,PT,0.1031,core8
FR,DE,0.764,DE/FR involved
FR,ES,0.0009,DE/FR involved
FR,FI,0.2476,DE/FR involved
FR,GR,0.8753,DE/FR involved
FR,IE,0.1112,DE/FR involved
FR,IT,0.236,DE/FR involved
FR,LT,0.2678,DE/FR involved
FR,NL,0.1642,DE/FR involved
FR,PT,0.5159,DE/FR involved
GR,DE,0.2323,DE/FR involved
GR,ES,0.0,core8
GR,FI,0.0047,core8
GR,FR,0.0056,DE/FR involved
GR,IE,0.054,core8
GR,IT,0.0168,core8
GR,LT,0.0031,core8
GR,NL,0.0006,core8
GR,PT,0.0135,core8
IE,DE,0.6446,DE/FR involved
IE,ES,0.0251,core8
IE,FI,0.0451,core8
IE,FR,0.0782,DE/FR involved
IE,GR,0.1146,core8
IE,IT,0.0445,core8
IE,LT,0.1173,core8
IE,NL,0.0156,core8
IE,PT,0.3638,core8
IT,DE,0.2762,DE/FR involved
IT,ES,0.0003,core8
IT,FI,0.0,core8
IT,FR,0.0018,DE/FR involved
IT,GR,0.2359,core8
IT,IE,0.032,core8
IT,LT,0.0002,core8
IT,NL,0.4381,core8
IT,PT,0.0008,core8
LT,DE,0.8388,DE/FR involved
LT,ES,0.1195,core8
LT,FI,0.0986,core8
LT,FR,0.0675,DE/FR involved
LT,GR,0.3147,core8
LT,IE,0.0455,core8
LT,IT,0.3686,core8
LT,NL,0.0372,core8
LT,PT,0.5051,core8
NL,DE,0.1214,DE/FR involved
NL,ES,0.0,core8
NL,FI,0.0149,core8
NL,FR,0.1369,DE/FR involved
NL,GR,0.4719,core8
NL,IE,0.7748,core8
NL,IT,0.6508,core8
NL,LT,0.0007,core8
NL,PT,0.0112,core8
PT,DE,0.5986,DE/FR involved
PT,ES,0.0002,core8
PT,FI,0.1053,core8
PT,FR,0.0881,DE/FR involved
PT,GR,0.1193,core8
PT,IE,0.0188,core8
PT,IT,0.3113,core8
PT,LT,0.0295,core8
PT,NL,0.0327,core8
