causing,caused,p_min_lag12
ES,FI,0.0027
ES,GR,0.9447
ES,IE,0.0282
ES,IT,0.3609
ES,LT,0.0845
ES,NL,0.0024
ES,PT,0.1788
FI,ES,0.0002
FI,GR,0.2067
FI,IE,0.1059
FI,IT,0.0025
FI,LT,0.0042
FI,NL,0.027
FI,PT,0.1503
GR,ES,0.0
GR,FI,0.0082
GR,IE,0.027
GR,IT,0.002
GR,LT,0.0082
GR,NL,0.0
GR,PT,0.0071
IE,ES,0.0249
IE,FI,0.0444
IE,GR,0.1229
IE,IT,0.0451
IE,LT,0.118
IE,NL,0.016
IE,PT,0.3864
IT,ES,0.0003
IT,FI,0.0
IT,GR,0.0865
IT,IE,0.0312
IT,LT,0.0002
IT,NL,0.42
IT,PT,0.0007
LT,ES,0.1238
LT,FI,0.0996
LT,GR,0.539
LT,IE,0.044
LT,IT,0.3844
LT,NL,0.0413
LT,PT,0.5714
NL,ES,0.0
NL,FI,0.0104
NL,GR,0.172
NL,IE,0.7619
NL,IT,0.5188
NL,LT,0.0004
NL,PT,0.0055
PT,ES,0.0002
PT,FI,0.0803
PT,GR,0.2535
PT,IE,0.0184
PT,IT,0.2647
PT,LT,0.0239
PT,NL,0.0316
