vol_window,crisis_pct,ALL_amp,ALL_p,MEDMED_amp,MEDMED_p
3,0.67,0.975,0.663,1.169,0.234
3,0.7,1.005,0.623,1.191,0.192
3,0.75,1.081,0.387,1.272,0.046
3,0.8,1.084,0.373,1.272,0.022
3,0.85,1.146,0.206,1.346,0.006
6,0.67,0.988,0.645,1.338,0.014
6,0.7,1.021,0.605,1.357,0.008
6,0.75,1.101,0.389,1.337,0.016
6,0.8,1.155,0.317,1.38,0.028
6,0.85,1.214,0.18,1.492,0.002
12,0.67,1.042,0.613,1.297,0.046
12,0.7,1.076,0.597,1.325,0.056
12,0.75,1.136,0.517,1.42,0.052
12,0.8,1.186,0.403,1.445,0.032
12,0.85,1.311,0.116,1.562,0.042
