,panel_mean_lambdaU,full_sample_percentile
2021-01-01,0.1151,0.332
2021-02-01,0.1184,0.349
2021-03-01,0.1305,0.464
2021-04-01,0.179,0.627
2021-05-01,0.2082,0.702
2021-06-01,0.2392,0.79
2021-07-01,0.2715,0.824
2021-08-01,0.2765,0.837
2021-09-01,0.2648,0.81
2021-10-01,0.2914,0.871
2021-11-01,0.307,0.905
2021-12-01,0.3092,0.922
2022-01-01,0.3228,0.959
2022-02-01,0.3384,0.986
2022-03-01,0.3339,0.98
2022-04-01,0.3796,1.0
2022-05-01,0.3551,0.997
2022-06-01,0.3332,0.973
2022-07-01,0.3334,0.976
2022-08-01,0.3148,0.939
2022-09-01,0.2919,0.875
2022-10-01,0.2973,0.881
2022-11-01,0.2841,0.861
2022-12-01,0.3193,0.949
2023-01-01,0.3109,0.929
2023-02-01,0.2969,0.878
2023-03-01,0.3006,0.892
2023-04-01,0.2773,0.841
2023-05-01,0.2687,0.817
2023-06-01,0.278,0.844
2023-07-01,0.2818,0.858
2023-08-01,0.3227,0.956
2023-09-01,0.3164,0.942
2023-10-01,0.3094,0.925
2023-11-01,0.3042,0.898
2023-12-01,0.3351,0.983
